start training greencrab
Start training for LSTM_PPO
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to /home/rstudio/logs/RecurrentPPO_6
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000768  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 2244       |
|    time_elapsed         | 28065      |
|    total_timesteps      | 287232     |
| train/                  |            |
|    approx_kl            | 0.11267649 |
|    clip_fraction        | 0.397      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.492     |
|    explained_variance   | 0.0418     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00599   |
|    n_updates            | 22430      |
|    policy_gradient_loss | -0.0175    |
|    std                  | 0.441      |
|    value_loss           | 0.00183    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000762   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2245        |
|    time_elapsed         | 28077       |
|    total_timesteps      | 287360      |
| train/                  |             |
|    approx_kl            | 0.021584895 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.491      |
|    explained_variance   | 0.0177      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0122     |
|    n_updates            | 22440       |
|    policy_gradient_loss | -0.0102     |
|    std                  | 0.44        |
|    value_loss           | 0.000671    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.00076    |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2246        |
|    time_elapsed         | 28091       |
|    total_timesteps      | 287488      |
| train/                  |             |
|    approx_kl            | 0.014073719 |
|    clip_fraction        | 0.192       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.489      |
|    explained_variance   | 0.0376      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0312     |
|    n_updates            | 22450       |
|    policy_gradient_loss | -0.0173     |
|    std                  | 0.44        |
|    value_loss           | 0.00109     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000756   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2247        |
|    time_elapsed         | 28100       |
|    total_timesteps      | 287616      |
| train/                  |             |
|    approx_kl            | 0.007681663 |
|    clip_fraction        | 0.268       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.487      |
|    explained_variance   | 0.0722      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0116     |
|    n_updates            | 22460       |
|    policy_gradient_loss | -0.00753    |
|    std                  | 0.44        |
|    value_loss           | 0.00104     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000754   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2248        |
|    time_elapsed         | 28109       |
|    total_timesteps      | 287744      |
| train/                  |             |
|    approx_kl            | 0.017910723 |
|    clip_fraction        | 0.324       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.486      |
|    explained_variance   | 0.0461      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00977    |
|    n_updates            | 22470       |
|    policy_gradient_loss | -0.0024     |
|    std                  | 0.439       |
|    value_loss           | 0.000505    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000754   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2249        |
|    time_elapsed         | 28120       |
|    total_timesteps      | 287872      |
| train/                  |             |
|    approx_kl            | 0.005875598 |
|    clip_fraction        | 0.0508      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.485      |
|    explained_variance   | -5.3        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0248     |
|    n_updates            | 22480       |
|    policy_gradient_loss | -0.0139     |
|    std                  | 0.439       |
|    value_loss           | 3.88e-05    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000753  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 2250       |
|    time_elapsed         | 28132      |
|    total_timesteps      | 288000     |
| train/                  |            |
|    approx_kl            | 0.02275418 |
|    clip_fraction        | 0.245      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.485     |
|    explained_variance   | -1.1       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0145    |
|    n_updates            | 22490      |
|    policy_gradient_loss | -0.00935   |
|    std                  | 0.439      |
|    value_loss           | 1.08e-05   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.000749    |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 2251         |
|    time_elapsed         | 28142        |
|    total_timesteps      | 288128       |
| train/                  |              |
|    approx_kl            | 0.0036311923 |
|    clip_fraction        | 0.233        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.483       |
|    explained_variance   | -4.29        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0214      |
|    n_updates            | 22500        |
|    policy_gradient_loss | -0.0131      |
|    std                  | 0.439        |
|    value_loss           | 3.61e-06     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000749   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2252        |
|    time_elapsed         | 28151       |
|    total_timesteps      | 288256      |
| train/                  |             |
|    approx_kl            | 0.030293545 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.48       |
|    explained_variance   | -2.29       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0171     |
|    n_updates            | 22510       |
|    policy_gradient_loss | -0.0119     |
|    std                  | 0.439       |
|    value_loss           | 3.74e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000747   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2253        |
|    time_elapsed         | 28163       |
|    total_timesteps      | 288384      |
| train/                  |             |
|    approx_kl            | 0.015471438 |
|    clip_fraction        | 0.248       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.478      |
|    explained_variance   | -1.04       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0248     |
|    n_updates            | 22520       |
|    policy_gradient_loss | -0.0142     |
|    std                  | 0.438       |
|    value_loss           | 1e-06       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000744  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 2254       |
|    time_elapsed         | 28173      |
|    total_timesteps      | 288512     |
| train/                  |            |
|    approx_kl            | 0.01977189 |
|    clip_fraction        | 0.188      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.473     |
|    explained_variance   | -14.1      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0196    |
|    n_updates            | 22530      |
|    policy_gradient_loss | -0.00386   |
|    std                  | 0.437      |
|    value_loss           | 6.69e-07   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000743  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 2255       |
|    time_elapsed         | 28180      |
|    total_timesteps      | 288640     |
| train/                  |            |
|    approx_kl            | 0.02086888 |
|    clip_fraction        | 0.0852     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.471     |
|    explained_variance   | -7.07      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0171    |
|    n_updates            | 22540      |
|    policy_gradient_loss | -0.00988   |
|    std                  | 0.437      |
|    value_loss           | 4.4e-07    |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.000738    |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 2256         |
|    time_elapsed         | 28190        |
|    total_timesteps      | 288768       |
| train/                  |              |
|    approx_kl            | 0.0011691824 |
|    clip_fraction        | 0.138        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.468       |
|    explained_variance   | -5.93        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0137      |
|    n_updates            | 22550        |
|    policy_gradient_loss | -0.0075      |
|    std                  | 0.437        |
|    value_loss           | 3.84e-07     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000737   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2257        |
|    time_elapsed         | 28203       |
|    total_timesteps      | 288896      |
| train/                  |             |
|    approx_kl            | 0.001428986 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.466      |
|    explained_variance   | -12.5       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0195     |
|    n_updates            | 22560       |
|    policy_gradient_loss | -0.0101     |
|    std                  | 0.437       |
|    value_loss           | 5.82e-07    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000735  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 2258       |
|    time_elapsed         | 28214      |
|    total_timesteps      | 289024     |
| train/                  |            |
|    approx_kl            | 0.02673688 |
|    clip_fraction        | 0.218      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.464     |
|    explained_variance   | -12.6      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0356    |
|    n_updates            | 22570      |
|    policy_gradient_loss | -0.0218    |
|    std                  | 0.437      |
|    value_loss           | 2.79e-07   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000737   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2259        |
|    time_elapsed         | 28223       |
|    total_timesteps      | 289152      |
| train/                  |             |
|    approx_kl            | 0.006755304 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.465      |
|    explained_variance   | -6.9        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00311    |
|    n_updates            | 22580       |
|    policy_gradient_loss | -0.00718    |
|    std                  | 0.437       |
|    value_loss           | 2.07e-07    |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 101       |
|    ep_rew_mean          | -0.000742 |
| time/                   |           |
|    fps                  | 10        |
|    iterations           | 2260      |
|    time_elapsed         | 28234     |
|    total_timesteps      | 289280    |
| train/                  |           |
|    approx_kl            | 0.0085411 |
|    clip_fraction        | 0.0609    |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.464    |
|    explained_variance   | -6.29     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0163   |
|    n_updates            | 22590     |
|    policy_gradient_loss | -0.0124   |
|    std                  | 0.437     |
|    value_loss           | 1.89e-07  |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.00074    |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2261        |
|    time_elapsed         | 28248       |
|    total_timesteps      | 289408      |
| train/                  |             |
|    approx_kl            | 0.013919065 |
|    clip_fraction        | 0.274       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.464      |
|    explained_variance   | -7.76       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0234     |
|    n_updates            | 22600       |
|    policy_gradient_loss | -0.0157     |
|    std                  | 0.438       |
|    value_loss           | 2.71e-07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000742   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2262        |
|    time_elapsed         | 28257       |
|    total_timesteps      | 289536      |
| train/                  |             |
|    approx_kl            | 0.031996243 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.464      |
|    explained_variance   | -8.02       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00473    |
|    n_updates            | 22610       |
|    policy_gradient_loss | -0.00749    |
|    std                  | 0.438       |
|    value_loss           | 1.35e-07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.00074    |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2263        |
|    time_elapsed         | 28266       |
|    total_timesteps      | 289664      |
| train/                  |             |
|    approx_kl            | 0.006990591 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.462      |
|    explained_variance   | -7.22       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0201     |
|    n_updates            | 22620       |
|    policy_gradient_loss | -0.0127     |
|    std                  | 0.437       |
|    value_loss           | 1.2e-07     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000741   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2264        |
|    time_elapsed         | 28276       |
|    total_timesteps      | 289792      |
| train/                  |             |
|    approx_kl            | 0.015058722 |
|    clip_fraction        | 0.195       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.458      |
|    explained_variance   | -3.29       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0225     |
|    n_updates            | 22630       |
|    policy_gradient_loss | -0.014      |
|    std                  | 0.437       |
|    value_loss           | 1.03e-07    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000742  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 2265       |
|    time_elapsed         | 28290      |
|    total_timesteps      | 289920     |
| train/                  |            |
|    approx_kl            | 0.00638332 |
|    clip_fraction        | 0.402      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.456     |
|    explained_variance   | -5.54      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0217    |
|    n_updates            | 22640      |
|    policy_gradient_loss | -0.0157    |
|    std                  | 0.436      |
|    value_loss           | 1.61e-07   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.000743    |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 2266         |
|    time_elapsed         | 28299        |
|    total_timesteps      | 290048       |
| train/                  |              |
|    approx_kl            | 0.0085538905 |
|    clip_fraction        | 0.294        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.455       |
|    explained_variance   | -5.06        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0303      |
|    n_updates            | 22650        |
|    policy_gradient_loss | -0.0181      |
|    std                  | 0.436        |
|    value_loss           | 8.61e-08     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000748   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2267        |
|    time_elapsed         | 28307       |
|    total_timesteps      | 290176      |
| train/                  |             |
|    approx_kl            | 0.020976588 |
|    clip_fraction        | 0.0867      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.453      |
|    explained_variance   | -3.11       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0282     |
|    n_updates            | 22660       |
|    policy_gradient_loss | -0.0162     |
|    std                  | 0.436       |
|    value_loss           | 7.76e-08    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000749  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 2268       |
|    time_elapsed         | 28321      |
|    total_timesteps      | 290304     |
| train/                  |            |
|    approx_kl            | 0.05398302 |
|    clip_fraction        | 0.422      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.451     |
|    explained_variance   | -5.45      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00428   |
|    n_updates            | 22670      |
|    policy_gradient_loss | -0.00442   |
|    std                  | 0.436      |
|    value_loss           | 1.27e-07   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.00075     |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 2269         |
|    time_elapsed         | 28331        |
|    total_timesteps      | 290432       |
| train/                  |              |
|    approx_kl            | 0.0068654004 |
|    clip_fraction        | 0.0742       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.45        |
|    explained_variance   | -3.43        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.023       |
|    n_updates            | 22680        |
|    policy_gradient_loss | -0.0132      |
|    std                  | 0.436        |
|    value_loss           | 7.13e-08     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.00075    |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2270        |
|    time_elapsed         | 28342       |
|    total_timesteps      | 290560      |
| train/                  |             |
|    approx_kl            | 0.013546685 |
|    clip_fraction        | 0.0961      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.449      |
|    explained_variance   | -4.64       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0167     |
|    n_updates            | 22690       |
|    policy_gradient_loss | -0.00957    |
|    std                  | 0.436       |
|    value_loss           | 6.35e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000757   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2271        |
|    time_elapsed         | 28352       |
|    total_timesteps      | 290688      |
| train/                  |             |
|    approx_kl            | 0.021298993 |
|    clip_fraction        | 0.203       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.447      |
|    explained_variance   | -1.42       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0176     |
|    n_updates            | 22700       |
|    policy_gradient_loss | -0.00647    |
|    std                  | 0.436       |
|    value_loss           | 5.03e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000759   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2272        |
|    time_elapsed         | 28366       |
|    total_timesteps      | 290816      |
| train/                  |             |
|    approx_kl            | 0.004219515 |
|    clip_fraction        | 0.339       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.446      |
|    explained_variance   | -2.49       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0231     |
|    n_updates            | 22710       |
|    policy_gradient_loss | -0.0146     |
|    std                  | 0.436       |
|    value_loss           | 1e-07       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000761   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2273        |
|    time_elapsed         | 28377       |
|    total_timesteps      | 290944      |
| train/                  |             |
|    approx_kl            | 0.011580318 |
|    clip_fraction        | 0.0344      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.446      |
|    explained_variance   | -3.03       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0273     |
|    n_updates            | 22720       |
|    policy_gradient_loss | -0.0201     |
|    std                  | 0.436       |
|    value_loss           | 5.48e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000765   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2274        |
|    time_elapsed         | 28389       |
|    total_timesteps      | 291072      |
| train/                  |             |
|    approx_kl            | 0.017211959 |
|    clip_fraction        | 0.166       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.446      |
|    explained_variance   | -1.59       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0259     |
|    n_updates            | 22730       |
|    policy_gradient_loss | -0.0195     |
|    std                  | 0.437       |
|    value_loss           | 4.3e-08     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.000769    |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 2275         |
|    time_elapsed         | 28402        |
|    total_timesteps      | 291200       |
| train/                  |              |
|    approx_kl            | 0.0063335425 |
|    clip_fraction        | 0.157        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.446       |
|    explained_variance   | -1.91        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0131      |
|    n_updates            | 22740        |
|    policy_gradient_loss | -0.00481     |
|    std                  | 0.437        |
|    value_loss           | 4.38e-08     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000771   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2276        |
|    time_elapsed         | 28414       |
|    total_timesteps      | 291328      |
| train/                  |             |
|    approx_kl            | 0.025439056 |
|    clip_fraction        | 0.0914      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.44       |
|    explained_variance   | -1.57       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0474     |
|    n_updates            | 22750       |
|    policy_gradient_loss | -0.0277     |
|    std                  | 0.436       |
|    value_loss           | 7.57e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000774   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2277        |
|    time_elapsed         | 28423       |
|    total_timesteps      | 291456      |
| train/                  |             |
|    approx_kl            | 0.008435501 |
|    clip_fraction        | 0.1         |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.433      |
|    explained_variance   | -1.83       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0138     |
|    n_updates            | 22760       |
|    policy_gradient_loss | -0.0063     |
|    std                  | 0.435       |
|    value_loss           | 4.05e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000779   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2278        |
|    time_elapsed         | 28432       |
|    total_timesteps      | 291584      |
| train/                  |             |
|    approx_kl            | 0.014128529 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.427      |
|    explained_variance   | -0.948      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0267     |
|    n_updates            | 22770       |
|    policy_gradient_loss | -0.0134     |
|    std                  | 0.435       |
|    value_loss           | 4.13e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000788   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2279        |
|    time_elapsed         | 28441       |
|    total_timesteps      | 291712      |
| train/                  |             |
|    approx_kl            | 0.010957776 |
|    clip_fraction        | 0.341       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.426      |
|    explained_variance   | -0.732      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0295     |
|    n_updates            | 22780       |
|    policy_gradient_loss | -0.0217     |
|    std                  | 0.435       |
|    value_loss           | 4.09e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000789   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2280        |
|    time_elapsed         | 28453       |
|    total_timesteps      | 291840      |
| train/                  |             |
|    approx_kl            | 0.012293505 |
|    clip_fraction        | 0.169       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.424      |
|    explained_variance   | -1.83       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00626    |
|    n_updates            | 22790       |
|    policy_gradient_loss | -0.00074    |
|    std                  | 0.434       |
|    value_loss           | 7.43e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000792   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2281        |
|    time_elapsed         | 28461       |
|    total_timesteps      | 291968      |
| train/                  |             |
|    approx_kl            | 0.004905879 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.422      |
|    explained_variance   | -1.24       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0346     |
|    n_updates            | 22800       |
|    policy_gradient_loss | -0.0219     |
|    std                  | 0.434       |
|    value_loss           | 3.6e-08     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000797   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2282        |
|    time_elapsed         | 28469       |
|    total_timesteps      | 292096      |
| train/                  |             |
|    approx_kl            | 0.018642958 |
|    clip_fraction        | 0.376       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.42       |
|    explained_variance   | -1.47       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0198     |
|    n_updates            | 22810       |
|    policy_gradient_loss | -0.016      |
|    std                  | 0.434       |
|    value_loss           | 3.78e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000799   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2283        |
|    time_elapsed         | 28482       |
|    total_timesteps      | 292224      |
| train/                  |             |
|    approx_kl            | 0.026405124 |
|    clip_fraction        | 0.206       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.417      |
|    explained_variance   | -1.76       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0346     |
|    n_updates            | 22820       |
|    policy_gradient_loss | -0.0198     |
|    std                  | 0.433       |
|    value_loss           | 6.99e-08    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -0.000801  |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 2284       |
|    time_elapsed         | 28492      |
|    total_timesteps      | 292352     |
| train/                  |            |
|    approx_kl            | 0.04959226 |
|    clip_fraction        | 0.233      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.412     |
|    explained_variance   | -1.31      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0291    |
|    n_updates            | 22830      |
|    policy_gradient_loss | -0.0156    |
|    std                  | 0.433      |
|    value_loss           | 4.25e-08   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.000801    |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 2285         |
|    time_elapsed         | 28501        |
|    total_timesteps      | 292480       |
| train/                  |              |
|    approx_kl            | 0.0010787002 |
|    clip_fraction        | 0.114        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.411       |
|    explained_variance   | -3.08        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0205      |
|    n_updates            | 22840        |
|    policy_gradient_loss | -0.00904     |
|    std                  | 0.433        |
|    value_loss           | 3.83e-08     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000803   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2286        |
|    time_elapsed         | 28513       |
|    total_timesteps      | 292608      |
| train/                  |             |
|    approx_kl            | 0.009901774 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.411      |
|    explained_variance   | -1.3        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0155     |
|    n_updates            | 22850       |
|    policy_gradient_loss | -0.00681    |
|    std                  | 0.433       |
|    value_loss           | 3.56e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000804   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 2287        |
|    time_elapsed         | 28526       |
|    total_timesteps      | 292736      |
| train/                  |             |
|    approx_kl            | 0.024797503 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.41       |
|    explained_variance   | -1.13       |
